"id","latitude","longitude","addr:city","addr:country","addr:district","addr:full","addr:housename","addr:housenumber","addr:interpolation","addr:number","addr:postcode","addr:street","addr:street:source","alcohol","alt_name","amenity","artwork_type","atm","bicycle:repair","books","brand","building","car_repair","clothes","contact:email","contact:facebook","contact:website","craft","created_by","cuisine","description","designation","diaper","diet:gluten_free","dispensing","distillery","disused:amenity","disused:name","disused:shop","doityourself","email","facebook","fair_trade","fax","fee","female","fhrs:id","fish","from","gallery","healthcare","healthcare:speciality","lawyer","leisure","level","male","massage","medical_system","music","music_genre","name","note","office","old_name","old_old_name","opening_hours","opening_hours:url","operator","organic","payment:bitcoin","phone","religion","rental","repair","retail","roof:levels","second_hand","self_service","service","service:bicycle:rental","service:bicycle:repair","service:bicycle:retail","service:bicycle:second_hand","shop","source","source:shop","tailor:alteration_service","toilets:wheelchair","tourism","trade","twitter","type","uk_postcode_centroid","unisex","url","vending","web","website","wheelchair","wheelchair:description","wholesale"
"node/21306881",55.9377371,-3.2029994,,,,,,"8",,,"EH9 1DU","Alvanley Terrace",,,,,,,"yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edinburgh Bicycle Co-operative",,,,,"Mo-Fr 09:00-19:00; Sa-Su 10:00-18:00",,,,,"+44 131 228 3565",,,,,,"no",,,,,,,"bicycle","survey",,,,,,,,,,,,,"http://www.edinburghbicycle.com/","yes",,
"node/33179114",55.9456712,-3.2061679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sainsbury's Local",,,,,"Mo-Sa 07:00-22:00; Su 08:00-21:00",,"Sainsbury's",,,,,,,,,,,,,,,,"supermarket","Survey",,,,,,,,,,,,,,"yes",,
"node/33179121",55.9442938,-3.2047762,,,,,,"32",,,,"Earl Grey Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tesco",,,,,"Mo-Su 06:00-23:00",,,,,,,,,,,,,,,,,,"supermarket",,,,,,,,,,,,,,"http://www.tesco.com/store-locator/uk/?bID=5150",,,
"node/33775554",55.9372862,-3.249504,,,,,,"170",,,,"Balgreen Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasha's Newsagent",,,,,,,,,,,,,,,,,,,,,,,"newsagent","survey",,,,,,,,,,,,,,,,
"node/64502249",55.9374112,-3.2346906,"Edinburgh","GB",,,,"236",,,,"Gorgie Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotmid",,,,,"Mo-Su 07:00-22:00",,,,,,,,,,,,,,,,,,"supermarket","survey",,,,,,,,,,,,,,,,
"node/183296738",55.9424743,-3.2815848,,,,,,"139",,,,"St John's Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles Wilson",,,,,,,,,,,,,,,,,,,,,,,"butcher","survey",,,,,,,,,,,,,,,,
"node/183297603",55.942614,-3.2821951,,,,,,"145",,,,"St John's Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scotmid Co-operative",,,,,"Mo-Su 07:00-22:00",,,,,,,,,,,,,,,,,,"supermarket",,,,,,,,,,,,,,,,,
"node/183298749",55.9423574,-3.2798815,,,,,,"119",,,,"St John's Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boots Opticians",,,,,,,,,,"+44 131 334 7222",,,,,,,,,,,,,"optician","survey",,,,,,,,,,,,,"http://www.boots.com/en/Store-Locator/Boots-Opticians-Edinburgh-Corstorphine/",,,
"node/183299959",55.9427967,-3.2847542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edinburgh Cheesecake Company",,,,,,,,,,,,,,,,,,,,,,,"cake",,,,,,,,,,,,,,,,,
"node/249966934",55.9314423,-3.2378469,,,,,,"7",,,,"Moat Place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Moat Newsagent",,,,,,,,,,,,,,,,,,,,,,,"convenience","survey",,,,,,,,,,,,,,,,
